Short _Name,Long_Name,Short_Description,Long_Description,Data_Source,,,,,,,,,,,,,,,,,,,,,
r58_2018,Violent_Crimes_2018,Number of violent offenses,"Total number of violent offenses. Violent offenses include aggravated assault, armed robbery and strong arm robbery, homicide, negligent manslaughter, and rape and attempted rape.","Charlotte-Mecklenburg, Cornelius, Huntersville, and Mint Hill Police Departments, 2018",,,,,,,,,,,,,,,,,,,,,
m58_2017,Violent_Crime_Rate_2017,"Violent offenses per 1,000 residents","Number of violent offenses, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Huntersville, and Matthews Police Departments, 2017; Population Estimate, 2017",,,,,,,,,,,,,,,,,,,,,
r58_2017,Violent_Crimes_2017,Number of violent offenses,"Total number of violent offenses. Violent offenses include aggravated assault, armed robbery and strong arm robbery, homicide, negligent manslaughter, and rape and attempted rape.","Charlotte-Mecklenburg, Huntersville, and Matthews Police Departments, 2017",,,,,,,,,,,,,,,,,,,,,
m58_2016,Violent_Crime_Rate_2016,"Violent offenses per 1,000 residents","Number of violent offenses, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Cornelius, Huntersville, and Matthews Police Departments, 2016; Population Estimate, 2016",,,,,,,,,,,,,,,,,,,,,
r58_2016,Violent_Crimes_2016,Number of violent offenses,"Total number of violent offenses. Violent offenses include aggravated assault, armed robbery and strong arm robbery, homicide, negligent manslaughter, and rape and attempted rape.","Charlotte-Mecklenburg, Cornelius, Huntersville, and Matthews Police Departments, 2016",,,,,,,,,,,,,,,,,,,,,
m58_2015,Violent_Crime_Rate_2015,"Violent offenses per 1,000 residents","Number of violent offenses, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Cornelius, Huntersville, Matthews and Mint Hill Police Departments, 2015; Population Estimate, 2015",,,,,,,,,,,,,,,,,,,,,
r58_2015,Violent_Crimes_2015,Number of violent offenses,"Total number of violent offenses. Violent offenses include aggravated assault, armed robbery and strong arm robbery, homicide, negligent manslaughter, and rape and attempted rape.","Charlotte-Mecklenburg, Cornelius, Huntersville, Matthews and Mint Hill Police Departments, 2015",,,,,,,,,,,,,,,,,,,,,
m58_2013,Violent_Crime_Rate_2013,"Violent offenses per 1,000 residents","Number of violent offenses, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Cornelius, Huntersville, Matthews and Mint Hill Police Departments, 2013; Population Estimate, 2013",,,,,,,,,,,,,,,,,,,,,
r58_2013,Violent_Crimes_2013,Number of violent offenses,"Total number of violent offenses. Violent offenses include aggravated assault, armed robbery and strong arm robbery, homicide, negligent manslaughter, and rape and attempted rape.","Charlotte-Mecklenburg, Cornelius, Huntersville, Matthews and Mint Hill Police Departments, 2013",,,,,,,,,,,,,,,,,,,,,
m58_2011,Violent_Crime_Rate_2011,"Violent offenses per 1,000 residents","Number of violent offenses, divided by the total population, multiplied by 1,000.","Charlotte-Mecklenburg, Cornelius, Huntersville, and Pineville Police Departments, 2011; U.S. Census Bureau 2010 Census",,,,,,,,,,,,,,,,,,,,,
r58_2011,Violent_Crimes_2011,Number of violent offenses,"Total number of violent offenses. Violent offenses include aggravated assault, armed robbery and strong arm robbery, homicide, negligent manslaughter, and rape and attempted rape.","Charlotte-Mecklenburg, Cornelius, Huntersville, and Pineville Police Departments, 2011",,,,,,,,,,,,,,,,,,,,,
m59_2018,Property_Crime_Rate_2018,"Property offenses per 1,000 residents","Number of property offenses, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Cornelius, Huntersville, and Mint Hill Police Departments, 2018; Population Estimate, 2018",,,,,,,,,,,,,,,,,,,,,
r59_2018,Property_Crimes_2018,Number of property offenses,"Total number of property offenses. Property offenses include arson, burglary and attempted burglary, larceny, and motor vehicle theft.","Charlotte-Mecklenburg, Cornelius, Huntersville, and Mint Hill Police Departments, 2018",,,,,,,,,,,,,,,,,,,,,
m59_2017,Property_Crime_Rate_2017,"Property offenses per 1,000 residents","Number of property offenses, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Huntersville, and Matthews Police Departments, 2017; Population Estimate, 2017",,,,,,,,,,,,,,,,,,,,,
r59_2017,Property_Crimes_2017,Number of property offenses,"Total number of property offenses. Property offenses include arson, burglary and attempted burglary, larceny, and motor vehicle theft.","Charlotte-Mecklenburg, Huntersville, and Matthews Police Departments, 2017",,,,,,,,,,,,,,,,,,,,,
m59_2016,Property_Crime_Rate_2016,"Property offenses per 1,000 residents","Number of property offenses, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Cornelius, Huntersville, Matthews Police Departments, 2016; Population Estimate, 2016",,,,,,,,,,,,,,,,,,,,,
r59_2016,Property_Crimes_2016,Number of property offenses,"Total number of property offenses. Property offenses include arson, burglary and attempted burglary, larceny, and motor vehicle theft.","Charlotte-Mecklenburg, Cornelius, Huntersville, Matthews Police Departments, 2016",,,,,,,,,,,,,,,,,,,,,
m59_2015,Property_Crime_Rate_2015,"Property offenses per 1,000 residents","Number of property offenses, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Cornelius, Huntersville, Matthews and Mint Hill Police Deapartments, 2015; Population Estimate, 2015",,,,,,,,,,,,,,,,,,,,,
r59_2015,Property_Crimes_2015,Number of property offenses,"Total number of property offenses. Property offenses include arson, burglary and attempted burglary, larceny, and motor vehicle theft.","Charlotte-Mecklenburg, Cornelius, Huntersville, Matthews and Mint Hill Police Deapartments, 2015",,,,,,,,,,,,,,,,,,,,,
m59_2013,Property_Crime_Rate_2013,"Property offenses per 1,000 residents","Number of property offenses, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Cornelius, Huntersville, Matthews and Mint Hill Police Deapartments, 2013; Population Estimate, 2013",,,,,,,,,,,,,,,,,,,,,
r59_2013,Property_Crimes_2013,Number of property offenses,"Total number of property offenses. Property offenses include arson, burglary and attempted burglary, larceny, and motor vehicle theft.","Charlotte-Mecklenburg, Cornelius, Huntersville, Matthews and Mint Hill Police Deapartments, 2013",,,,,,,,,,,,,,,,,,,,,
m59_2011,Property_Crimes_Rate_2011,"Property offenses per 1,000 residents","Number of property offenses, divided by the total population, multiplied by 1,000.","Charlotte-Mecklenburg, Cornelius, Huntersville, and Pineville Police Departments, 2011; U.S. Census Bureau 2010 Census",,,,,,,,,,,,,,,,,,,,,
r59_2011,Property_Crimes_2011,Number of property offenses,"Total number of property offenses. Property offenses include arson, burglary and attempted burglary, larceny, and motor vehicle theft.","Charlotte-Mecklenburg, Cornelius, Huntersville, and Pineville Police Departments, 2011",,,,,,,,,,,,,,,,,,,,,
m60_2018,Disorder_Call_Rate_2018,"Disorder-related calls per 1,000 residents","Number of disorder-related calls for service, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg and Huntersville Police Departments, 2018; Population Estimate, 2018",,,,,,,,,,,,,,,,,,,,,
r60_2018,Disorder_Calls_2018,Number of disorder-related calls,"Total number of disorder-related calls. Disorder-related calls include but are not limited to ABC violations, disturbance, drug violations, fight, intoxicated person, loitering, noise complaint, prostitution, suspicious person, suspicious vehicle, trash/littering, and trespass.","Charlotte-Mecklenburg and HuntersvillePolice Departments, 2018",,,,,,,,,,,,,,,,,,,,,
m60_2017,Disorder_Call_Rate_2017,"Disorder-related calls per 1,000 residents","Number of disorder-related calls for service, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg and Huntersville Police Departments, 2017; Population Estimate, 2017",,,,,,,,,,,,,,,,,,,,,
r60_2017,Disorder_Calls_2017,Number of disorder-related calls,"Total number of disorder-related calls. Disorder-related calls include but are not limited to ABC violations, disturbance, drug violations, fight, intoxicated person, loitering, noise complaint, prostitution, suspicious person, suspicious vehicle, trash/littering, and trespass.","Charlotte-Mecklenburg and HuntersvillePolice Departments, 2017",,,,,,,,,,,,,,,,,,,,,
m60_2016,Disorder_Call_Rate_2016,"Disorder-related calls per 1,000 residents","Number of disorder-related calls for service, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Huntersville,  and Cornelius Police Departments, 2016; Population Estimate, 2016",,,,,,,,,,,,,,,,,,,,,
r60_2016,Disorder_Calls_2016,Number of disorder-related calls,"Total number of disorder-related calls. Disorder-related calls include but are not limited to ABC violations, disturbance, drug violations, fight, intoxicated person, loitering, noise complaint, prostitution, suspicious person, suspicious vehicle, trash/littering, and trespass.","Charlotte-Mecklenburg, Huntersville, Matthews and Cornelius Police Departments, 2016",,,,,,,,,,,,,,,,,,,,,
m60_2015,Disorder_Call_Rate_2015,"Disorder-related calls per 1,000 residents","Number of disorder-related calls for service, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Huntersville,  and Cornelius Police Departments, 2015; Population Estimate, 2015",,,,,,,,,,,,,,,,,,,,,
r60_2015,Disorder_Calls_2015,Number of disorder-related calls,"Total number of disorder-related calls. Disorder-related calls include but are not limited to ABC violations, disturbance, drug violations, fight, intoxicated person, loitering, noise complaint, prostitution, suspicious person, suspicious vehicle, trash/littering, and trespass.","Charlotte-Mecklenburg, Huntersville, Matthews and Cornelius Police Departments, 2015",,,,,,,,,,,,,,,,,,,,,
m60_2013,Disorder_Call_Rate_2013,"Disorder-related calls per 1,000 residents","Number of disorder-related calls for service, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, and Cornelius Police Departments, 2013; Population Estimate, 2013",,,,,,,,,,,,,,,,,,,,,
r60_2013,Disorder_Calls_2013,Number of disorder-related calls,"Total number of disorder-related calls. Disorder-related calls include but are not limited to ABC violations, disturbance, drug violations, fight, intoxicated person, loitering, noise complaint, prostitution, suspicious person, suspicious vehicle, trash/littering, and trespass.","Charlotte-Mecklenburg and Cornelius Police Departments, 2013",,,,,,,,,,,,,,,,,,,,,
m61_2018,Animal_Control_Call_Rate_2018,"Animal control calls per 1,000 residents","Number of animal control calls for service, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Cornelius, and Huntersville Police Departments, 2018; Population Estimate, 2018",,,,,,,,,,,,,,,,,,,,,
r61_2018,Animal_Control_Calls_2018,Number of calls for animal control,Total number of animal control calls for service.,"Charlotte-Mecklenburg, Cornelius, and Huntersville Police Departments, 2018",,,,,,,,,,,,,,,,,,,,,
m61_2017,Animal_Control_Call_Rate_2017,"Animal control calls per 1,000 residents","Number of animal control calls for service, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Huntersville, and Matthews Police Departments, 2017; Population Estimate, 2017",,,,,,,,,,,,,,,,,,,,,
r61_2017,Animal_Control_Calls_2017,Number of calls for animal control,Total number of animal control calls for service.,"Charlotte-Mecklenburg, Huntersville, and Matthews Police Departments, 2017",,,,,,,,,,,,,,,,,,,,,
m61_2016,Animal_Control_Call_Rate_2016,"Animal control calls per 1,000 residents","Number of animal control calls for service, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Huntersville, Cornelius, and Matthews Police Departments, 2016; Population Estimate, 2016",,,,,,,,,,,,,,,,,,,,,
r61_2016,Animal_Control_Calls_2016,Number of calls for animal control,Total number of animal control calls for service.,"Charlotte-Mecklenburg, Huntersville, Cornelius, and Matthews Police Departments, 2016",,,,,,,,,,,,,,,,,,,,,
m61_2015,Animal_Control_Call_Rate_2015,"Animal control calls per 1,000 residents","Number of animal control calls for service, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Huntersville, Cornelius, and Matthews Police Departments, 2015; Population Estimate, 2015",,,,,,,,,,,,,,,,,,,,,
r61_2015,Animal_Control_Calls_2015,Number of calls for animal control,Total number of animal control calls for service.,"Charlotte-Mecklenburg, Huntersville, Cornelius, and Matthews Police Departments, 2015",,,,,,,,,,,,,,,,,,,,,
m61_2013,Animal_Control_Call_Rate_2013,"Animal control calls per 1,000 residents","Number of animal control calls for service, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Cornelius, and Matthews Police Departments, 2013; Population Estimate, 2013",,,,,,,,,,,,,,,,,,,,,
r61_2013,Animal_Control_Calls_2013,Number of calls for animal control,Total number of animal control calls for service.,"Charlotte-Mecklenburg, Cornelius, and Matthews Police Departments, 2013",,,,,,,,,,,,,,,,,,,,,
m61_2011,Animal_Control_Call_Rate_2011,"Animal control calls per 1,000 residents","Number of animal control calls for service, divided by the total population, multiplied by 1,000.","Charlotte-Mecklenburg Police Department, 2011; U.S. Census Bureau 2010 Census",,,,,,,,,,,,,,,,,,,,,
r61_2011,Animal_Control_Calls_2011,Number of calls for animal control,Number of animal control calls,"Charlotte-Mecklenburg Police Department, 2011; U.S. Census Bureau 2010 Census",,,,,,,,,,,,,,,,,,,,,
m78_2018,Fire_Call_Rate_2018,"Fire calls for service per 1,000 residents","Number of fire calls for service, divided by the total population estimate, multiplied by 1,000.","Charlotte Fire Department , 2017; Medic911, 2017; Population Estimate, 2017",,,,,,,,,,,,,,,,,,,,,
r78_2018,Fire_Calls_2018,Number of fire calls for service,"Total number of fire calls for service. Fire calls for service included but were not limited to structure fires, vehicle fires, and fire alarms for both residential and non-residential structures. Motor vehicle fires were included but accidents were excluded. Any calls for service where the primary reason was medic related were not provided.","Charlotte Fire Department , 2018; Medic911, 2018",,,,,,,,,,,,,,,,,,,,,
m78_2017,Fire_Call_Rate_2017,"Fire calls for service per 1,000 residents","Number of fire calls for service, divided by the total population estimate, multiplied by 1,000.","Charlotte Fire Department , 2017; Medic911, 2017; Population Estimate, 2017",,,,,,,,,,,,,,,,,,,,,
r78_2017,Fire_Calls_2017,Number of fire calls for service,"Total number of fire calls for service. Fire calls for service included but were not limited to structure fires, vehicle fires, and fire alarms for both residential and non-residential structures. Motor vehicle fires were included but accidents were excluded. Any calls for service where the primary reason was medic related were not provided.","Charlotte Fire Department , 2017; Medic911, 2017",,,,,,,,,,,,,,,,,,,,,
m78_2016,Fire_Call_Rate_2016,"Fire calls for service per 1,000 residents","Number of fire calls for service, divided by the total population estimate, multiplied by 1,000.","Charlotte Fire Department , 2016; Medic911, 2016; Population Estimate, 2016",,,,,,,,,,,,,,,,,,,,,
r78_2016,Fire_Calls_2016,Number of fire calls for service,"Total number of fire calls for service. Fire calls for service included but were not limited to structure fires, vehicle fires, and fire alarms for both residential and non-residential structures. Motor vehicle fires were included but accidents were excluded. Any calls for service where the primary reason was medic related were not provided.","Charlotte Fire Department , 2016; Medic911, 2016",,,,,,,,,,,,,,,,,,,,,
m78_2015,Fire_Call_Rate_2015,"Fire calls for service per 1,000 residents","Number of fire calls for service, divided by the total population estimate, multiplied by 1,000.","Charlotte Fire Department , Medic 911, 2015; Population Estimate, 2015",,,,,,,,,,,,,,,,,,,,,
r78_2015,Fire_Calls_2015,Number of fire calls for service,"Total number of fire calls for service. Fire calls for service included but were not limited to structure fires, vehicle fires, and fire alarms for both residential and non-residential structures. Motor vehicle fires were included but accidents were excluded. Any calls for service where the primary reason was medic related were not provided.","Charlotte Fire Department , Medic 911, 2015",,,,,,,,,,,,,,,,,,,,,
m78_2013,Fire_Call_Rate_2013,"Fire calls for service per 1,000 residents","Number of fire calls for service, divided by the total population estimate, multiplied by 1,000.","Charlotte Fire Department ,  Medic 911, 2013; Population Estimate, 2013",,,,,,,,,,,,,,,,,,,,,
r78_2013,Fire_Calls_2013,Number of fire calls for service,"Total number of fire calls for service. Fire calls for service included but were not limited to structure fires, vehicle fires, and fire alarms for both residential and non-residential structures. Motor vehicle fires were included but accidents were excluded. Any calls for service where the primary reason was medic related were not provided.","Charlotte Fire Department , Medic 911; 2013",,,,,,,,,,,,,,,,,,,,,
m32_2016,Nuisance_Violations_2016,Nuisance violations per 100 housing units,"Number of cited nuisance violations, divided by total housing units, times 100.","City of Charlotte Code Enforcement; Town of Cornelius; Town of Matthews; Town of Mint Hill; Mecklenburg County Code Enforcement, July 1, 2015-June 30, 2016; Mecklenburg County Tax Parcels, 2016",,,,,,,,,,,,,,,,,,,,,
r32_2016,Nuisance_Violations_Total_2016,Number of nuisance violations,Number of cited nuisance violations,"City of Charlotte Code Enforcement; Town of Cornelius; Town of Matthews; Town of Mint Hill; Mecklenburg County Code Enforcement, July 1, 2015-June 30, 2016; Mecklenburg County Tax Parcels, 2016",,,,,,,,,,,,,,,,,,,,,
m32_2015,Nuisance_Violations_2015,Nuisance violations per 100 housing units,"Number of cited nuisance violations, divided by total housing units, times 100.","City of Charlotte Code Enforcement; Town of Cornelius; Town of Matthews; Town of Mint Hill; Mecklenburg County Code Enforcement, July 1, 2014-June 30, 2015; Mecklenburg County Tax Parcels, 2015",,,,,,,,,,,,,,,,,,,,,
r32_2015,Nuisance_Violations_Total_2015,Number of nuisance violations,Number of cited nuisance violations,"City of Charlotte Code Enforcement; Town of Cornelius; Town of Matthews; Town of Mint Hill; Mecklenburg County Code Enforcement, July 1, 2014-June 30, 2015; Mecklenburg County Tax Parcels, 2015",,,,,,,,,,,,,,,,,,,,,
m32_2013,Nuisance_Violations_2013,Nuisance violations per 100 housing units,"Number of cited nuisance violations, divided by total housing units, times 100.","City of Charlotte Code Enforcement; Town of Cornelius; Town of Matthews; Town of Mint Hill; Mecklenburg County Code Enforcement, July 1, 2012-June 30, 2013; Mecklenburg County Tax Parcels, 2013",,,,,,,,,,,,,,,,,,,,,
r32_2013,Nuisance_Violations_Total_2013,Number of nuisance violations,Number of cited nuisance violations,"City of Charlotte Code Enforcement; Town of Cornelius; Town of Matthews; Town of Mint Hill; Mecklenburg County Code Enforcement, July 1, 2012-June 30, 2013; Mecklenburg County Tax Parcels, 2013",,,,,,,,,,,,,,,,,,,,,
Transportation,,,,,,,,,,,,,,,,,,,,,,,,,
m33_2018,Long_Commute_2018,Percentage of commuters traveling 20 minutes or more to work by car,"Number of commuters (traveling by car, truck, or van) with a commute time of 20 minutes or longer, divided by the total number of auto commuters.","U.S. Census Bureau American Community Survey, 2014-2018 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m33_moe_2018,Long_Commute_moe_2018,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2014-2018 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m33_2017,Long_Commute_2017,Percentage of commuters traveling 20 minutes or more to work by car,"Number of commuters (traveling by car, truck, or van) with a commute time of 20 minutes or longer, divided by the total number of auto commuters.","U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m33_moe_2017,Long_Commute_moe_2017,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m34_2018,Bicycle_Friendliness_2018,Index measuring the transportation network's ability to comfortably support cycling,The index is calculated using the following formula: (Low Speed Street Miles + Bike Lane Miles + Completed Greenways/Multi-use Path Miles) divided by (Total Street Mileage + Total Completed Greenways/Multiuse Path Mileage). The result is a score between 1 and 3 with 1 being least bicycle friendly and 3 being most bicycle friendly. Low speed streets are streets with a speed limit of 25mph or less. Unpaved paths without a surface intended to support most bicycles are not included.,"Charlotte Department of Transportation, Town of Davidson; 2018",,,,,,,,,,,,,,,,,,,,,
m34_2017,Bicycle_Friendliness_2017,Index measuring the transportation network's ability to comfortably support cycling,The index is calculated using the following formula: (Low Speed Street Miles + Bike Lane Miles + Completed Greenways/Multi-use Path Miles) divided by (Total Street Mileage + Total Completed Greenways/Multiuse Path Mileage). The result is a score between 1 and 3 with 1 being least bicycle friendly and 3 being most bicycle friendly. Low speed streets are streets with a speed limit of 25mph or less. Unpaved paths without a surface intended to support most bicycles are not included.,"Charlotte Department of Transportation, Town of Davidson; 2017",,,,,,,,,,,,,,,,,,,,,
m34_2016,Bicycle_Friendliness_2016,Index measuring the transportation network's ability to comfortably support cycling,The index is calculated using the following formula: (Low Speed Street Miles + Bike Lane Miles + Completed Greenways/Multi-use Path Miles) divided by (Total Street Mileage + Total Completed Greenways/Multiuse Path Mileage). The result is a score between 1 and 3 with 1 being least bicycle friendly and 3 being most bicycle friendly. Low speed streets are streets with a speed limit of 25mph or less. Unpaved paths without a surface intended to support most bicycles are not included.,"Charlotte Department of Transportation, Town of Davidson; 2016",,,,,,,,,,,,,,,,,,,,,
m34_2015,Bicycle_Friendliness_2015,Index measuring the transportation network's ability to comfortably support cycling,The index is calculated using the following formula: (Low Speed Street Miles + Bike Lane Miles + Completed Greenways/Multi-use Path Miles) divided by (Total Street Mileage + Total Completed Greenways/Multiuse Path Mileage). The result is a score between 1 and 3 with 1 being least bicycle friendly and 3 being most bicycle friendly. Low speed streets are streets with a speed limit of 25mph or less. Unpaved paths without a surface intended to support most bicycles are not included.,"Charlotte Department of Transportation, Town of Davidson; 2015",,,,,,,,,,,,,,,,,,,,,
m34_2013,Bicycle_Friendliness_2013,Index measuring the transportation network's ability to comfortably support cycling,The index is calculated using the following formula: (Low Speed Street Miles + Bike Lane Miles + Completed Greenways/Multi-use Path Miles) divided by (Total Street Mileage + Total Completed and Proposed Greenways/Multiuse Path Mileage). The result is a score between 1 and 3 with 1 being least bicycle friendly and 3 being most bicycle friendly. Low speed streets are streets with a speed limit of 25mph or less. Unpaved paths without a surface intended to support most bicycles are not included.,"Charlotte Department of Transportation, Town of Cornelius, Davidson, Huntersville, Matthews, and Mint Hill; 2014",,,,,,,,,,,,,,,,,,,,,
m34_2011,Bicycle_Friendliness_2011,Index measuring the transportation network's ability to comfortably support cycling,The index is calculated using the following formula: (Low Speed Street Miles + Bike Lane Miles + Completed Greenways/Multi-use Path Miles) divided by (Total Street Mileage + Total Completed and Proposed Greenways/Multiuse Path Mileage). The result is a score between 1 and 3 with 1 being least bicycle friendly and 3 being most bicycle friendly. Low speed streets are streets with a speed limit of 25mph or less. Unpaved paths without a surface intended to support most bicycles are not included.,"Charlotte Department of Transportation, 2012",,,,,,,,,,,,,,,,,,,,,
m35_2018,Street_Connectivity_2018,Index measuring the connectedness of the street network,"The index is calculated using the following formula: The total number of street links (roadways or bike pathways) divided by the number of nodes (cul-de-sacs, endpoints, and intersections). Values range from 1 to 2, where 2 is perfect connectivity.","Charlotte Department of Transportation, 2018",,,,,,,,,,,,,,,,,,,,,
m35_2017,Street_Connectivity_2017,Index measuring the connectedness of the street network,"The index is calculated using the following formula: The total number of street links (roadways or bike pathways) divided by the number of nodes (cul-de-sacs, endpoints, and intersections). Values range from 1 to 2, where 2 is perfect connectivity.","Charlotte Department of Transportation, 2017",,,,,,,,,,,,,,,,,,,,,
m35_2016,Street_Connectivity_2016,Index measuring the connectedness of the street network,"The index is calculated using the following formula: The total number of street links (roadways or bike pathways) divided by the number of nodes (cul-de-sacs, endpoints, and intersections). Values range from 1 to 2, where 2 is perfect connectivity.","Charlotte Department of Transportation, 2016",,,,,,,,,,,,,,,,,,,,,
m35_2015,Street_Connectivity_2015,Index measuring the connectedness of the street network,"The index is calculated using the following formula: The total number of street links (roadways or bike pathways) divided by the number of nodes (cul-de-sacs, endpoints, and intersections). Values range from 1 to 2, where 2 is perfect connectivity.","Charlotte Department of Transportation, 2015",,,,,,,,,,,,,,,,,,,,,
m35_2013,Street_Connectivity_2013,Index measuring the connectedness of the street network,"The index is calculated using the following formula: The total number of street links (roadways or bike pathways) divided by the number of nodes (cul-de-sacs, endpoints, and intersections). Values range from 1 to 2, where 2 is perfect connectivity.","Charlotte Department of Transportation, 2014",,,,,,,,,,,,,,,,,,,,,
m35_2011,Street_Connectivity_2011,Index measuring the connectedness of the street network,"The index is calculated using the following formula: The total number of street links (roadways or bike pathways) divided by the number of nodes (cul-de-sacs, endpoints, and intersections). Values range from 1 to 2, where 2 is perfect connectivity.","Charlotte Department of Transportation, 2012",,,,,,,,,,,,,,,,,,,,,
m70_2015,Sidewalk_Availability_2015,Percentage of paved streets that have sidewalks,"The length of paved street with sidewalk on at least one side, divided by the total length of paved streets.",Mecklenburg County Land Use & Environmental Services Agency; Charlotte Department of Transportation; Towns of Davidson and Huntersville; 2015,,,,,,,,,,,,,,,,,,,,,
r70_2015,Sidewalk_Miles_2015,Length of paved streets that have sidewalks (Miles),The length of paved street with sidewalk on at least one side. Sidewalks not adjacent to public streets and unpaved walking trails are not included. This measure does not account for physical obstructions that would impair an individual's ability to access the location or amenity. The quality of the sidewalk is also not assessed.,"Mecklenburg County Land Use & Environmental Services Agency; Charlotte Department of Transportation; Towns of Davidson, and Huntersville; 2015",,,,,,,,,,,,,,,,,,,,,
m36_2018,Transit_Proximity_2018,Percentage of housing units within ½-mile of a transit stop,"Number of housing units within ½-mile of a transit stop, divided by total number of housing units.","Charlotte Area Transit System, 2018; Mecklenburg County Tax Parcels, 2018",,,,,,,,,,,,,,,,,,,,,
r36_2018,Transit_Proximate_Units_2018,Number of housing units within ½-mile of a transit stop,Number of housing units within ½-mile of a transit stop,"Charlotte Area Transit System, 2018; Mecklenburg County Tax Parcels, 2018",,,,,,,,,,,,,,,,,,,,,
m36_2017,Transit_Proximity_2017,Percentage of housing units within ½-mile of a transit stop,"Number of housing units within ½-mile of a transit stop, divided by total number of housing units.","Charlotte Area Transit System, 2017; Mecklenburg County Tax Parcels, 2017",,,,,,,,,,,,,,,,,,,,,
r36_2017,Transit_Proximate_Units_2017,Number of housing units within ½-mile of a transit stop,Number of housing units within ½-mile of a transit stop,"Charlotte Area Transit System, 2017; Mecklenburg County Tax Parcels, 2017",,,,,,,,,,,,,,,,,,,,,
m36_2016,Transit_Proximity_2016,Percentage of housing units within ½-mile of a transit stop,"Number of housing units within ½-mile of a transit stop, divided by total number of housing units.","Charlotte Area Transit System, 2016; Mecklenburg County Tax Parcels, 2016",,,,,,,,,,,,,,,,,,,,,
r36_2016,Transit_Proximate_Units_2016,Number of housing units within ½-mile of a transit stop,Number of housing units within ½-mile of a transit stop,"Charlotte Area Transit System, 2016; Mecklenburg County Tax Parcels, 2016",,,,,,,,,,,,,,,,,,,,,
m36_2015,Transit_Proximity_2015,Percentage of housing units within ½-mile of a transit stop,"Number of housing units within ½-mile of a transit stop, divided by total number of housing units.","Charlotte Area Transit System, 2015; Mecklenburg County Tax Parcels, 2015",,,,,,,,,,,,,,,,,,,,,
r36_2015,Transit_Proximate_Units_2015,Number of housing units within ½-mile of a transit stop,Number of housing units within ½-mile of a transit stop,"Charlotte Area Transit System, 2015; Mecklenburg County Tax Parcels, 2015",,,,,,,,,,,,,,,,,,,,,
m36_2013,Transit_Proximity_2013,Percentage of housing units within ½-mile of a transit stop,"Number of housing units within ½-mile of a transit stop, divided by total number of housing units.","Charlotte Area Transit System, 2013; Mecklenburg County Tax Parcels, 2013",,,,,,,,,,,,,,,,,,,,,
r36_2013,Transit_Proximate_Units_2013,Number of housing units within ½-mile of a transit stop,Number of housing units within ½-mile of a transit stop,"Charlotte Area Transit System, 2013; Mecklenburg County Tax Parcels, 2013",,,,,,,,,,,,,,,,,,,,,
m36_2011,Transit_Proximity_2011,Percentage of housing units within ½-mile of a transit stop,"Number of housing units within ½-mile of a transit stop, divided by total number of housing units.","Charlotte Area Transit System, 2011; Mecklenburg County Tax Parcels, 2011",,,,,,,,,,,,,,,,,,,,,
r36_2011,Transit_Proximate_Units_2011,Number of housing units within ½-mile of a transit stop,Number of housing units within ½-mile of a transit stop,"Charlotte Area Transit System, 2011; Mecklenburg County Tax Parcels, 2011",,,,,,,,,,,,,,,,,,,,,
